1.9696155060244459e+02 8.6824088833423083e+00
1.9216833792508757e+02 1.3854895116684732e+01
1.8649221797003875e+02 1.8063520968750030e+01
1.8037074625512108e+02 2.1602074401794617e+01
1.7399311202576231e+02 2.4655624317271052e+01
1.6745072406589821e+02 2.7340737702426782e+01
1.6079513870156188e+02 2.9733107987924711e+01
1.5405758843549546e+02 3.1884811671703005e+01
1.4725910006639717e+02 3.3833006672141579e+01
1.4041174697325795e+02 3.5605952198963337e+01
1.3352693376654230e+02 3.7224452614264045e+01
1.2661042916453626e+02 3.8705457647123190e+01
1.1966902198302841e+02 4.0061924861414127e+01
1.1270627929651974e+02 4.1304732331125578e+01
1.0572507872640550e+02 4.2442761255819114e+01
9.8729134927198515e+01 4.3483156161701736e+01
9.1720155692406806e+01 4.4432120307104867e+01
8.4699649933821831e+01 4.5294846078974615e+01
7.7669906517153024e+01 4.6075607444189430e+01
7.0631888418596830e+01 4.6778157521982742e+01
6.3586757749149875e+01 4.7405645918333747e+01
5.6535534441844725e+01 4.7960747847442256e+01
4.9478949561423271e+01 4.8445738686634073e+01
4.2418195171722743e+01 4.8862496302362125e+01
3.5353810270191197e+01 4.9212617855700458e+01
2.8286478743700865e+01 4.9497395840767574e+01
2.1216839222092382e+01 4.9717857539710948e+01
1.4145495960274737e+01 4.9874783799053866e+01
7.0730284280684801e+00 4.9968722885455890e+01
-9.5911023264075301e-11 5.0000000000000000e+01
